,name,dim,gamma_square,neg_elbo,kl_loss,rec_loss,prior,cima,mcc,min_cima,min_cima_step,cima4max_mcc,cima4min_neg_elbo,mixing_linear_map_cima,mixing_cima,max_mcc,max_mcc_step,mcc4min_cima,mcc4min_neg_elbo,min_neg_elbo,min_neg_elbo_step,mse_sources_mean_decoded_sources,mse_obs_decoded_mean_latents,sigma_0,sigma_1,sigma_2,col_norm_sq_0,col_norm_sq_1,col_norm_sq_2,rhs_0,rhs_1,rhs_2
34,devoted-sweep-45,3,99999.99999999999,-4.609153202640275,-7.921955585479736,12.531106843895977,uniform,0.014061749912798405,0.9223877972970258,0.0007944793906062841,12,0.014061749912798405,0.010311293415725231,2.009407758712769,-1,0.9223877972970258,34,0.8409204869710951,0.9139617640198586,-4.738693310129116,29,0.22486677765846252,2.3368279471469577e-06,0.07193759828805923,0.024543941020965576,0.0005513606010936201,0.005449509351966919,0.01645594162392272,0.44414872215952883,0.0018350275876470696,0.0006076832446623757,2.251498090859803e-05
35,prime-sweep-44,3,99999.99999999999,-1.966463099777734,-10.075224876403809,12.041687864283748,uniform,0.0026774248108267784,0.9636081090693616,0.0024269542191177607,18,0.004528667312115431,0.004528667312115431,1.6621270179748535,-1,0.963922742095766,15,0.9637328739210324,0.963922742095766,-2.297062840916847,15,0.34317973256111145,3.2463992738485103e-06,0.01866426318883896,0.0017457783687859774,9.539271559333429e-05,0.013701246581010962,0.1286267220371542,2.0734494488387014,0.0007298605963240857,7.774434302315092e-05,4.822881023504483e-06
36,wise-sweep-43,3,99999.99999999999,-5.251944601642561,-7.6164937019348145,12.868440204568168,uniform,0.4361599385738373,0.6434604965208572,0.3928944170475006,9,2.0945885181427,1.9176560640335083,4.502180099487305,-1,0.6533861755248606,7,0.6485205440979711,0.6482459183286364,-5.285179575443822,20,0.14709413051605225,4.3418394852778874e-06,2.9374136924743652,0.007343327160924673,9.01202074601315e-05,2.547715225536241e-06,0.050504014889370064,2.433283688715221,3.9250854647207323,0.00019800406011096698,4.109672886222331e-06
37,wild-sweep-42,3,99999.99999999999,-1.9705306588002032,-10.40270709991455,12.37323743319392,uniform,0.0006477813585661352,0.9458411511488132,0.0003512420516926795,26,0.0007709388737566769,0.0008350378484465182,2.691110849380493,-1,0.946469685150172,30,0.9440852818344383,0.945819608323888,-1.9834687150786876,29,0.23696622252464294,3.942112925869878e-06,0.0330205075442791,0.00185261364094913,3.9042886783136055e-05,0.00728559409052304,0.14303295910720326,5.143952184880618,0.0013725716634430416,6.991395593308671e-05,1.944030512062795e-06
38,rich-sweep-41,3,99999.99999999999,2.217766557250974,-13.286529541015623,11.06876443589274,uniform,0.5687055587768555,0.7044844296219679,0.46938756108283997,2,0.5687055587768555,0.5667471885681152,3.51713228225708,-1,0.7044844296219679,14,0.6773608620558903,0.695921884999126,1.364287974182203,9,0.1187758520245552,4.956789780408144e-06,0.00039851697511039674,6.522027979372069e-05,8.173265814548358e-05,0.5096155521874266,2.9862774970798824,2.2119880024561667,1.9622635057107124e-05,3.3486506226492533e-06,4.520820180261427e-06
39,classic-sweep-40,3,99999.99999999999,7.737199956052498,-17.636371612548828,9.899171137697502,uniform,0.5587204098701477,0.5237880909148488,0.5587204098701477,17,2.027808666229248,0.5903184413909912,2.8175582885742188,-1,0.5795178129025217,0,0.5237880909148488,0.5252206424823207,6.529604768781507,12,0.054708331823349,1.3044244042248465e-05,2.173895154555794e-05,8.218642506108154e-06,9.79324340733001e-06,8.733312471731779,44.18361473771802,22.586746288954828,1.1450409031359258e-06,2.263282454222413e-07,4.4273751836890794e-07
40,fearless-sweep-39,3,99999.99999999999,3.618960760213501,-15.194628715515137,11.575667144042692,uniform,0.43533629179000854,0.7181843641656155,0.43533629179000854,19,0.48681607842445374,0.4548536241054535,3.417658805847168,-1,0.7210753886002405,11,0.7181843641656155,0.718879409452229,3.180471741782895,14,0.08294909447431564,5.743679139413871e-06,0.00013720447896048427,3.938180088880472e-05,1.7208032659254968e-05,1.3601056737803106,5.703366216403083,13.067716562829673,7.352369887705681e-06,1.753350498735229e-06,7.652446356576476e-07
41,distinctive-sweep-38,3,99999.99999999999,-0.45063797262081473,-11.254786491394045,11.705424680181038,uniform,0.007860875688493252,0.9314810831734104,0.004468268249183893,12,0.007860875688493252,0.004468268249183893,0.718218207359314,-1,0.9314810831734103,17,0.9264844141752284,0.9264844141752284,-0.9869680297919817,12,0.06131184473633766,4.100866135559045e-06,0.0029261379968374968,0.00038974854396656156,0.00019244011491537094,0.0844227797114181,0.4863698827471694,1.0740183819917206,0.00011845144206555321,2.0560483604611516e-05,9.3108276056276e-06
42,fallen-sweep-37,3,99999.99999999999,-6.546205760477345,-6.137882709503174,12.68408934227463,uniform,0.012240534648299215,0.966139274504954,0.0030164108611643314,21,0.012240534648299217,0.010740947909653187,1.6348549127578735,-1,0.966139274504954,27,0.960978694599778,0.9625931386982561,-6.620095338415616,22,0.3476746678352356,1.8397593066765694e-06,0.1619824767112732,0.00432213069871068,0.09721898287534714,0.0022621693022306794,0.09165162049351583,0.004382731410517204,0.004420535629291408,0.00010910881822004971,0.0022816821436976685
43,mild-sweep-36,3,99999.99999999999,8.755676607801076,-16.955589294433594,8.199907925890328,uniform,6.516622543334961,0.7292292960567294,3.332775115966797,0,3.332775115966797,6.400080680847168,4.873502254486084,-1,0.7494035460312433,0,0.7494035460312433,0.7317150366359711,5.753003778503805,5,0.08834103494882584,1.2308708392083645e-05,0.00030544467153958976,5.2328443416627124e-05,5.565062110690633e-06,4.246241538341167,17.115953320063454,31.05967315554176,2.3550238274732234e-06,5.842502496356964e-07,3.2196088960503987e-07
44,spring-sweep-35,3,99999.99999999999,-5.931215208908538,-6.090864658355713,12.022079478165129,uniform,0.1357993334531784,0.5984659580726025,0.1357993334531784,27,1.0878136157989502,0.4943047761917114,3.425546884536743,-1,0.6063114028689524,17,0.5984659580726025,0.5977938393208148,-5.986962908908975,22,0.1696299910545349,9.096867870539427e-06,3.027310609817505,0.03887445479631424,0.00037305307341739535,3.4007832202458083e-06,0.011056677463963605,0.6111144608003407,2.9404991004622762,0.000904430832190993,1.636354666997012e-05
