,name,dim,gamma_square,neg_elbo,kl_loss,rec_loss,prior,cima,mcc,min_cima,min_cima_step,cima4max_mcc,cima4min_neg_elbo,mixing_linear_map_cima,max_mcc,max_mcc_step,mcc4min_cima,mcc4min_neg_elbo,min_neg_elbo,min_neg_elbo_step,mse_sources_mean_decoded_sources,mse_obs_decoded_mean_latents,sigma_0,sigma_1,sigma_2,col_norm_sq_0,col_norm_sq_1,col_norm_sq_2,rhs_0,rhs_1,rhs_2
0,polished-sweep-20,3,99999.99999999999,-0.42659549194649066,-6.929637908935547,7.356230257571499,uniform,0.7170307636260986,0.5026734594918089,0.1728210598230362,11,1.5434796810150146,0.4735288619995117,2.121189594268799,0.5150801091491931,0,0.49731955265383165,0.49787981193414454,-0.4721568198186663,8,0.23761047422885895,3.898156137438491e-05,3.0188915729522705,0.0019518746994435787,0.000478470727102831,7.295113397289216e-06,0.12307526136087077,0.37812992981926996,1.370780610993092,8.125109700704885e-05,2.6445936201822417e-05
1,deep-sweep-19,3,99999.99999999999,-3.257251904131168,-8.53667163848877,11.79392364180206,uniform,1.1946659088134766,0.542404944042423,0.29315561056137085,6,2.2217791080474854,0.4752448797225952,2.917726993560791,0.5967593027625703,0,0.548603298165453,0.5398524951955321,-3.634346981241941,12,0.15732000768184662,8.229402737924829e-06,2.991586208343506,0.00027012580540031195,0.00018722741515375674,3.53681662180627e-06,0.8588283400382011,1.0540500220902373,2.8274013242148106,1.1643770394855853e-05,9.487215777643521e-06
2,sandy-sweep-18,3,99999.99999999999,4.223284932087189,-7.947907447814941,3.7246245044565938,uniform,2.267430067062378,0.614751264781267,0.13822844624519348,5,0.21049447357654572,0.334799200296402,2.0801897048950195,0.641024202087072,4,0.6276882774712982,0.6177488366802782,3.763043979175715,6,0.32410353422164917,6.083866537665017e-05,2.549276113510132,0.0012523723999038339,0.0001342854811809957,5.057929315826755e-06,0.17643048165382513,1.5587733581342036,1.9770936633513292,5.667954826321359e-05,6.4153008183111665e-06
3,fragrant-sweep-17,3,99999.99999999999,10.361101968352928,-10.001373291015623,-0.3597268615414074,uniform,1.6395336389541626,0.5560856201384258,0.24328653514385223,13,3.0229170322418213,0.24328653514385223,2.500119686126709,0.6617347589187487,0,0.5502611459000523,0.5502611459000523,8.091729906775953,13,0.20672495663166046,7.655895024072379e-05,2.925527334213257,7.918135088402778e-05,3.180362909915857e-05,4.4788771707089865e-06,2.8794704534527824,5.636643874023321,2.2327024427903757,3.4728607782757305e-06,1.7741053406062011e-06
4,dauntless-sweep-16,3,99999.99999999999,9.389432406585746,-9.437149047851562,0.04771775515741634,uniform,1.402013659477234,0.5858357286001848,0.35853227972984314,5,1.6639349460601807,0.35853227972984314,2.831465721130371,0.5881224461220836,9,0.5827813058154713,0.5827813058154713,6.620091488200717,5,0.14805178344249725,6.962609040783718e-05,2.876235246658325,0.0001931478182086721,3.1484618375543505e-05,2.0752093374007278e-05,0.9655667822056593,6.395566274812211,0.4818790962325445,1.0356611457942708e-05,1.5635832028483867e-06
5,crisp-sweep-15,3,99999.99999999999,10.140340550899923,-16.180498123168945,6.040160679975729,uniform,5.237607002258301,0.6511134488647103,2.6951165199279785,0,2.7152209281921387,3.3536722660064697,5.083484649658203,0.6621089827087098,1,0.6592206920435854,0.65410277340117,5.182306380493243,4,0.12985561788082123,1.3566827874456067e-05,7.503887172788382e-05,1.7275226127821952e-05,1.2980094652448315e-05,2.9603076877329073,12.161866019687295,14.263661136319797,3.3780272373167743e-06,8.222422434034609e-07,7.010822750504661e-07
6,fancy-sweep-14,3,99999.99999999999,0.9317625444107944,-12.956214904785156,12.024452861371271,uniform,0.053770340979099274,0.8616214451857916,0.053770340979099274,23,0.06707046926021576,0.05825793370604515,1.1082037687301636,0.8642874058125717,10,0.8616214451857916,0.8604077822187837,0.6387388160939526,18,0.15160617232322693,4.55276676802896e-06,0.0014373715966939926,9.452103404328227e-05,5.63649446121417e-05,0.1336145442000003,1.9646182434292,3.2739260670519457,7.484215180221361e-05,5.0900474091827684e-06,3.0544367206815538e-06
7,fancy-sweep-13,3,99999.99999999999,7.420578082168583,-18.100719451904297,10.680144207870477,uniform,4.871952056884766,0.674117850907998,3.17738676071167,0,3.8662543296813965,4.798135757446289,6.323585510253906,0.6940410727908313,3,0.6755990718774112,0.6714118994144062,6.327132871144274,19,0.07573608309030533,8.17492400528863e-06,0.00039560330333188176,7.899689990154002e-06,0.00014837479102425277,27.063598591372283,23.966029423300142,41.838705756294075,3.695000118420299e-07,4.1725726958666954e-07,2.390131295707118e-07
8,comic-sweep-12,3,99999.99999999999,-3.1956276611989356,-5.9071760177612305,9.102802205215458,uniform,0.5760791301727295,0.5622630424090993,0.44830581545829773,12,0.48603084683418274,0.6414650678634644,1.6143163442611694,0.5986004419019657,6,0.5657341359045152,0.5791814504855229,-3.378391708246333,8,0.21047671139240265,2.7602594855125062e-05,3.1299989223480225,0.0007299936842173338,0.015556398779153824,7.0153478973231185e-06,0.33445391505041755,0.013025894490330592,1.4254460571821037,2.9899485549429263e-05,0.0007677015968019103
9,dandy-sweep-11,3,99999.99999999999,-3.5188365046592267,-8.976881980895996,12.49572049971538,uniform,0.004805190954357386,0.9260366708045517,0.004805190954357386,27,0.021638596430420876,0.0052604079246521,1.7718963623046875,0.9400435061398917,10,0.9260366708045517,0.9255616231838978,-3.6536702754323844,22,0.18207353353500366,2.6734894618130056e-06,0.09412955492734909,0.003710026852786541,0.0002676528529264033,0.004782044107089156,0.08101459350765428,0.8351585527407792,0.0020911559525717193,0.00012343455132012975,1.1973774281760666e-05
