,summary,config,name,sigmas
0,"{'_wandb': {'runtime': 129}, '_runtime': 84, '_timestamp': 1651551233, 'Metrics/val/mcc': 0.1525980814405242, 'Metrics/val/kl_loss': -16.849712371826172, 'Metrics/val/neg_elbo': 5262139.5, '_step': 1, 'epoch': 0, 'Metrics/val/rec_loss': -5262123, 'trainer/global_step': 79}","{'lr': 0.0005, 'beta': 1, 'dims': 'None', 'seed': 1, 'angle': False, 'n_obs': 60000, 'prior': 'beta', 'shape': False, 'affine': False, 'deltah': 0, 'deltas': 0, 'deltav': 0, 'device': 'cuda', 'linear': False, 'mobius': False, 'orthog': False, 'ar_flow': False, 'dataset': 'image', 'data_dir': '/mnt/qb/work/bethge/preizinger/ima-vae/ima_vae/data', 'n_layers': 3, 'fix_prior': True, 'n_classes': 1, 'prior_var': 1, 'val_ratio': 0.2, 'activation': 'lrelu', 'batch_size': 64, 'latent_dim': 4, 'n_segments': 1, 'prior_beta': 11, 'prior_mean': 0, 'projective': False, 'decoder_var': 1e-05, 'log_latents': False, 'model.prior': 'beta', 'prior_alpha': 3, 'train_ratio': 0.7, 'break_orthog': 0, 'synth_source': 'uniform', 'mixing_layers': 1, 'diag_posterior': True, 'val_transforms': 'None', 'seed_everything': 5748, 'test_transforms': 'None', 'train_transforms': 'None', 'data.synth_source': 'uniform', 'model.decoder_var': 1e-05, 'log_reconstruction': False}",fluent-sweep-60,[0.92242891 1.05373728 1.07969403 1.00036871]
1,"{'_wandb': {'runtime': 90}, '_runtime': 84, 'Metrics/val/mcc': 0.2794541307548631, 'Metrics/val/rec_loss': -4712005, 'epoch': 0, '_timestamp': 1651551233, 'Metrics/val/kl_loss': -70.64625549316406, 'trainer/global_step': 79, 'Metrics/val/neg_elbo': 4712075, '_step': 1}","{'lr': 0.0005, 'beta': 1, 'dims': 'None', 'seed': 1, 'angle': False, 'n_obs': 60000, 'prior': 'beta', 'shape': False, 'affine': False, 'deltah': 0, 'deltas': 0, 'deltav': 0, 'device': 'cuda', 'linear': False, 'mobius': False, 'orthog': False, 'ar_flow': False, 'dataset': 'image', 'data_dir': '/mnt/qb/work/bethge/preizinger/ima-vae/ima_vae/data', 'n_layers': 3, 'fix_prior': True, 'n_classes': 1, 'prior_var': 1, 'val_ratio': 0.2, 'activation': 'lrelu', 'batch_size': 64, 'latent_dim': 4, 'n_segments': 1, 'prior_beta': 11, 'prior_mean': 0, 'projective': False, 'decoder_var': 1e-05, 'log_latents': False, 'model.prior': 'beta', 'prior_alpha': 3, 'train_ratio': 0.7, 'break_orthog': 0, 'synth_source': 'uniform', 'mixing_layers': 1, 'diag_posterior': True, 'val_transforms': 'None', 'seed_everything': 42, 'test_transforms': 'None', 'train_transforms': 'None', 'data.synth_source': 'uniform', 'model.decoder_var': 1e-05, 'log_reconstruction': False}",fearless-sweep-57,[6.04579067 0.48495311 0.49395958 0.3884055 ]
2,"{'_runtime': 83, '_timestamp': 1651551232, 'Metrics/val/mcc': 0.1853202188619098, 'Metrics/val/kl_loss': -19.93309783935547, 'Metrics/val/neg_elbo': 4839819, 'Metrics/val/rec_loss': -4839799, '_step': 1, 'epoch': 0, '_wandb': {'runtime': 124}, 'trainer/global_step': 79}","{'lr': 0.0005, 'beta': 1, 'dims': 'None', 'seed': 1, 'angle': False, 'n_obs': 60000, 'prior': 'beta', 'shape': False, 'affine': False, 'deltah': 0, 'deltas': 0, 'deltav': 0, 'device': 'cuda', 'linear': False, 'mobius': False, 'orthog': False, 'ar_flow': False, 'dataset': 'image', 'data_dir': '/mnt/qb/work/bethge/preizinger/ima-vae/ima_vae/data', 'n_layers': 3, 'fix_prior': True, 'n_classes': 1, 'prior_var': 1, 'val_ratio': 0.2, 'activation': 'lrelu', 'batch_size': 64, 'latent_dim': 4, 'n_segments': 1, 'prior_beta': 11, 'prior_mean': 0, 'projective': False, 'decoder_var': 1e-05, 'log_latents': False, 'model.prior': 'beta', 'prior_alpha': 3, 'train_ratio': 0.7, 'break_orthog': 0, 'synth_source': 'uniform', 'mixing_layers': 1, 'diag_posterior': True, 'val_transforms': 'None', 'seed_everything': 64, 'test_transforms': 'None', 'train_transforms': 'None', 'data.synth_source': 'uniform', 'model.decoder_var': 1e-05, 'log_reconstruction': False}",decent-sweep-58,[0.82710791 0.94737834 0.95028985 0.97626877]
