,name,dim,gamma_square,neg_elbo,kl_loss,rec_loss,prior,cima,mcc,min_cima,min_cima_step,cima4max_mcc,cima4min_neg_elbo,mixing_linear_map_cima,mixing_cima,max_mcc,max_mcc_step,mcc4min_cima,mcc4min_neg_elbo,min_neg_elbo,min_neg_elbo_step,mse_sources_mean_decoded_sources,mse_obs_decoded_mean_latents,sigma_0,sigma_1,sigma_2,sigma_3,col_norm_sq_0,col_norm_sq_1,col_norm_sq_2,col_norm_sq_3,rhs_0,rhs_1,rhs_2,rhs_3
0,zany-sweep-43,4,1000.0,-30570.1193263086,-24.301719665527344,30594.42104597413,beta,0.1537332534790039,0.6153321074686113,0.1537332534790039,7,0.2683858871459961,0.1537332534790039,-1,-1,0.6244430189384376,1,0.6153321074686113,0.6153321074686113,-30570.119326308602,7,-1,-1,2.6906354833045043e-06,3.320986252219882e-06,3.2820132673805347e-06,4.081614406459266e-06,221.9618202030406,200.61407470157428,288.2230380151632,244.46226812371697,4.505279327252072e-06,4.984695124146006e-06,3.4695352838081975e-06,4.090610823809922e-06
1,deep-sweep-39,4,1.0,11304.498627541658,-8.790401458740234,-11295.708226082916,beta,0.0050029754638671875,0.975538813931531,0.0018014907836914062,5,0.004268646240234375,0.006443023681640625,-1,-1,0.9764148958003714,12,0.9698475763580108,0.9746578833822991,11303.768327172533,14,-1,-1,0.004653260111808777,0.054504938423633575,0.015157853253185749,0.0026764580979943275,248.7550011389103,34.75670875861488,164.13029448900852,286.0015732531647,0.004020019679691095,0.028771423869417376,0.006092720439656361,0.0034964842627449944
2,confused-sweep-38,4,1.0,11304.022605140291,-8.892706871032715,-11295.12989826926,beta,0.0077228546142578125,0.975810930322203,0.0037364959716796875,17,0.004353523254394531,0.0061664581298828125,-1,-1,0.9767816061065848,14,0.9756884376420691,0.975378496624493,11303.843541687238,22,-1,-1,0.004402860067784786,0.008702816441655159,0.05174124985933304,0.0025554250460118055,261.39636752021397,261.1196429546144,35.94524369166743,292.0602168943187,0.0038256078670361373,0.003829662099276888,0.02782009237655587,0.003423951439308311
3,apricot-sweep-37,4,1.0,11303.764772246108,-9.033504486083984,-11294.731267760024,beta,0.009333610534667969,0.977029859257122,0.0036001205444335938,12,0.015943527221679688,0.0049190521240234375,-1,-1,0.978088809903709,19,0.9749016616412455,0.9757746742919367,11303.617797034602,20,-1,-1,0.058093857020139694,0.011493083089590073,0.0026367190293967724,0.0047989413142204285,31.52435632405195,181.35767470470546,255.7561616069288,214.8596477446781,0.031721504151284954,0.005513965712387104,0.003909974225907012,0.004654201058675845
4,sandy-sweep-40,4,100.0,-16935.78288858754,-19.655488967895508,16955.438377555434,beta,0.07245635986328125,0.5921291876968937,0.0706186294555664,25,0.07245635986328125,0.07222938537597656,-1,-1,0.5921291876968937,27,0.5890601171928035,0.5878124938978877,-16940.973328334374,24,-1,-1,3.227570414310321e-05,4.5078897528583184e-05,2.8128702979302034e-05,4.123067992622964e-05,316.0374772051,206.75774445189836,286.19436926866547,216.16144118363536,3.16418169403063e-05,4.8365782024317226e-05,3.494128841721719e-05,4.6261719690815315e-05
5,toasty-sweep-39,4,100.0,-16954.159501928476,-19.382099151611328,16973.541601080087,beta,0.09873771667480467,0.6316602177870709,0.09753131866455078,20,0.10338878631591797,0.10337448120117188,-1,-1,0.6364604416839746,15,0.6352279198184083,0.6353222507048759,-16958.8516991225,23,-1,-1,3.4842560125980526e-05,4.981832898920402e-05,2.381791091465857e-05,3.9094975363695994e-05,226.5561022614711,298.9096376036796,282.1793514029705,167.26696849420932,4.4139177449561174e-05,3.345492664662379e-05,3.543845412600495e-05,5.9784666931093416e-05
6,devoted-sweep-38,4,100.0,-16932.220804064116,-19.68421936035156,16951.905023424468,beta,0.1106853485107422,0.5781264236607169,0.10979080200195312,25,0.11068534851074219,0.10982704162597656,-1,-1,0.5781264236607169,27,0.5759077240010715,0.574809702374107,-16951.475203143273,23,-1,-1,2.3934937416925095e-05,3.555222792783752e-05,3.4040633181575686e-05,3.703255788423121e-05,257.2031926567579,278.85428787122146,180.6095953776321,253.99311494368249,3.887976621404219e-05,3.5861022888836234e-05,5.536804386882795e-05,3.937114595494955e-05
7,hopeful-sweep-37,4,100.0,-16946.169471198235,-19.516624450683594,16965.686095648918,beta,0.041584014892578125,0.7429761463303748,0.03586292266845703,25,0.041584014892578125,0.041584014892578125,-1,-1,0.7429761463303748,27,0.7415482665690485,0.7429761463303748,-16946.169471198235,27,-1,-1,2.6566227461444214e-05,3.6261582863517106e-05,2.9305621865205467e-05,4.5614942791871727e-05,233.47358305707166,208.09779928357693,248.98693218879635,264.53978151176125,4.2831398178163656e-05,4.805432846684218e-05,4.016275035838997e-05,3.7801497917829823e-05
8,fluent-sweep-36,4,100.0,-16940.371364492818,-19.45996856689453,16959.831333059712,beta,0.07515239715576172,0.6525457801726442,0.06542587280273438,6,0.07515239715576172,0.07246780395507812,-1,-1,0.6525457801726442,27,0.6081556337714438,0.6423942878602273,-16941.64259330278,23,-1,-1,5.408063589129597e-05,3.95817551179789e-05,3.1453357223654166e-05,3.098847082583234e-05,296.6564838997183,220.16908296303973,246.12255159392953,235.67711797572792,3.370902219477663e-05,4.5419637786649286e-05,4.063016548153909e-05,4.243093298955687e-05
9,brisk-sweep-35,4,100.0,-16921.150774241876,-19.632707595825195,16940.7834818377,beta,0.11559486389160156,0.664732742372451,0.1070566177368164,26,0.11559486389160156,0.1118621826171875,-1,-1,0.664732742372451,27,0.6643869344048137,0.6629529986949433,-16944.683197645143,24,-1,-1,3.597071918193251e-05,2.9209830245235935e-05,3.586183083825745e-05,5.280022378428839e-05,302.979398253432,299.54397338187846,233.01677072889652,330.5178205117263,3.3005544461591866e-05,3.3384080097152676e-05,4.291536600013441e-05,3.0255554706603826e-05
