,name,dim,gamma_square,neg_elbo,kl_loss,rec_loss,prior,cima,mcc,min_cima,min_cima_step,cima4max_mcc,cima4min_neg_elbo,mixing_linear_map_cima,mixing_cima,max_mcc,max_mcc_step,mcc4min_cima,mcc4min_neg_elbo,min_neg_elbo,min_neg_elbo_step,mse_sources_mean_decoded_sources,mse_obs_decoded_mean_latents,sigma_0,sigma_1,sigma_2,sigma_3,col_norm_sq_0,col_norm_sq_1,col_norm_sq_2,col_norm_sq_3,rhs_0,rhs_1,rhs_2,rhs_3
10,hardy-sweep-87,4,99999.99999999999,10.090087061748148,-21.114648818969727,11.02456030763662,gaussian,0.025099322199821472,0.816917412268351,0.012199414893984795,3,0.025099322199821472,0.016984881833195686,-1,0.17285394668579102,0.816917412268351,10,0.7739399700299104,0.7921972347906117,7.2139795984899004,5,0.00033492513466626406,1.499079280620208e-05,5.284172220854089e-05,3.619825656642206e-05,5.628578219329938e-05,3.3529879146954045e-05,0.20618695529566722,0.26738141337432353,0.18960618017905517,0.3074905255307989,4.849732133852769e-05,3.739835873488172e-05,5.273811544224216e-05,3.252026962470479e-05
11,trim-sweep-85,4,99999.99999999999,11.569128288251497,-20.920318603515625,9.351193422970836,gaussian,0.0550541877746582,0.6678657004683681,0.03895965591073036,9,0.04690786823630333,0.04467197507619858,-1,0.13515019416809082,0.6681568104409845,11,0.6647683724751053,0.6654403805537774,6.543841399642724,13,0.006263867020606995,1.3607097571366467e-05,4.043373337481171e-05,3.664691394078545e-05,4.522083327174187e-05,2.3582133508170955e-05,0.24713732484600826,0.27406251115056435,0.2168839851817248,0.3751507884462768,4.046169630292688e-05,3.648669455400584e-05,4.610547402511643e-05,2.6655237721977453e-05
12,pleasant-sweep-80,4,99999.99999999999,3.2690329540708536,-17.985721588134766,14.716693989898868,gaussian,0.030223743990063667,0.8570755351978755,0.021947288885712624,3,0.030223743990063667,0.05559411272406578,-1,0.07809114456176758,0.8570755351978755,22,0.7879045940905468,0.8355724586536418,3.2104530326015155,17,0.014774834737181664,1.078305740520591e-05,4.8098878323799e-05,3.3929303754121065e-05,7.105612894520164e-05,2.816645246639382e-05,0.19463560315300388,0.29643435351960434,0.14016495334165402,0.3746525525114066,5.137542198751524e-05,3.373314377984496e-05,7.13394209279785e-05,2.6690684545249692e-05
13,resilient-sweep-75,4,99999.99999999999,14.043928997319776,-21.52467918395996,7.480748401361863,gaussian,0.02274860069155693,0.8568459970761247,0.018827032297849655,4,0.02274860069155693,0.02415122278034687,-1,0.20412611961364743,0.8568459970761247,8,0.829565092766879,0.8209675446531935,11.951022657149917,3,0.047119032591581345,3.312905027996749e-05,3.2080897653941065e-05,3.5842043871525675e-05,9.666487312642857e-05,2.5250499675166793e-05,0.3323231099474846,0.2986831273928239,0.10915978156078054,0.39992807143221754,3.0090291038350664e-05,3.347917672993052e-05,9.160043976484901e-05,2.5003871134820994e-05
14,serene-sweep-78,4,99999.99999999999,17.05699837363974,-23.38116455078125,6.324163827287992,gaussian,0.1532631665468216,0.5647192157344144,0.11318329721689224,4,0.1532631665468216,0.15526491403579712,-1,0.01808929443359375,0.5647192157344144,29,0.543751757962649,0.5563697370863724,11.757003659352451,24,0.013923694379627705,2.7189365937374532e-05,1.5185604752332438e-05,5.9354752011131495e-05,3.416294202907011e-05,2.7456333555164747e-05,0.655789408638384,0.17020431589728346,0.3001887507370071,0.37198447804758317,1.524856513787149e-05,5.874946503344961e-05,3.3311264538740956e-05,2.6882119467162804e-05
15,giddy-sweep-76,4,99999.99999999999,33.883986691105875,-25.965112686157227,-7.918874244003022,gaussian,0.056733179837465286,0.7902049397605058,0.02911617048084736,7,0.056733179837465286,0.03812026605010033,-1,0.23751652240753177,0.7902049397605058,15,0.7629644239241591,0.777458459362254,25.49797410540885,10,0.0028947910759598017,8.291680569527671e-05,2.1797408408019692e-05,2.0266606952645816e-05,2.883662273234222e-05,1.4976927559473552e-05,0.5031732646726574,0.49218788404232683,0.38609203218187815,0.8428517923885579,1.9873474938609963e-05,2.0317031674073685e-05,2.5899889579678198e-05,1.1864341331289126e-05
16,worthy-sweep-77,4,99999.99999999999,9.466496088840048,-20.937837600708008,11.471339492621532,gaussian,0.020011521875858307,0.7358862224754563,0.0076743909157812595,3,0.020011521875858307,0.029865674674510956,-1,0.17336225509643555,0.7358862224754563,16,0.7139057556169499,0.7270485047244132,6.214209715021965,11,0.03479551523923874,1.1812442608061247e-05,5.256852091406472e-05,3.505619315546937e-05,4.4384058128343895e-05,4.960807564202696e-05,0.20156249147884697,0.2595985982645779,0.21312268903062037,0.2195349939664517,4.960994392952375e-05,3.851952541960335e-05,4.691912838655792e-05,4.5548749799907e-05
17,misty-sweep-79,4,99999.99999999999,11.569773233761811,-23.99370002746582,12.423928660362533,gaussian,0.12266381084918976,0.6575651090932441,0.04298538714647293,6,0.26089948415756226,0.1005532518029213,-1,0.31828904151916504,0.6739791315016096,3,0.6650757177393732,0.6526757328697249,10.465908723697424,16,0.10877956449985504,1.8013743101619184e-05,1.4119968909653835e-05,1.1297312084934674e-05,5.403364048106596e-05,3.1261210097e-05,0.6943315644574319,0.7456333806628699,0.16343244436052373,0.32711216464134907,1.440213363550278e-05,1.341123687185434e-05,6.118361750600019e-05,3.056961918481991e-05
18,jolly-sweep-71,4,99999.99999999999,34.62636634671788,-25.06949806213379,-9.556865812660266,gaussian,0.03767060115933418,0.7844657168661313,0.004010193049907684,5,0.024378152564167976,0.018817909061908722,-1,0.18209314346313477,0.792553240051189,11,0.7478779378412606,0.7916356538615756,32.88985013909906,10,0.011103951372206211,0.0001223804138135165,1.8203356376034208e-05,3.680154259200208e-05,1.829124266805593e-05,5.8088629884878173e-05,0.6522912531957878,0.2799113646473792,0.5410853420882269,0.19709022421907108,1.533034000932466e-05,3.57243185513801e-05,1.8481031386090692e-05,5.0735609457680254e-05
19,icy-sweep-64,4,99999.99999999999,19.83991202409382,-26.294883728027344,6.454965763178307,gaussian,0.06680424511432648,0.7525421083483778,0.028301076963543892,2,0.06680424511432648,0.0687955692410469,-1,0.665083646774292,0.7525421083483778,45,0.5709955273324208,0.7398391806661894,18.666764102936998,40,0.01601477898657322,4.775210618390702e-05,1.4553100299963262e-05,3.224513784516603e-05,7.3419047112111e-05,7.831833499949425e-06,0.6495103207000739,0.3242855453647877,0.13815673874264522,1.183229276791181,1.5395977125429547e-05,3.083606957582899e-05,7.237631930088754e-05,8.451375977916265e-06
