,name,dim,gamma_square,neg_elbo,kl_loss,rec_loss,prior,cima,mcc,min_cima,min_cima_step,cima4max_mcc,cima4min_neg_elbo,max_mcc,max_mcc_step,mcc4min_cima,mcc4min_neg_elbo,sigma_0,sigma_1,sigma_2,col_norm_sq_0,col_norm_sq_1,col_norm_sq_2,rhs_0,rhs_1,rhs_2
40,solar-sweep-142,3,99999.99999999999,-4.205533617541244,-8.273837089538574,12.479370162849673,gaussian,8.558527770219371e-05,0.832607564526484,2.850977580237668e-05,47,0.014916984364390373,2.9680888474103995e-05,0.8520491184030116,8,0.8323614393240318,0.8329067646036126,0.00010117583587998524,0.000350828719092533,0.0001920496579259634,0.09781119035212615,0.028136733358267385,0.052027415124929144,0.00010222733912767858,0.0003552810151257839,0.00019216942225113294
41,laced-sweep-141,3,99999.99999999999,-3.8228199422301583,-8.320204734802246,12.143024725351902,gaussian,9.171295096166432e-05,0.9133731071629788,2.255757681268733e-05,40,8.1436155596748e-05,5.3871153795626014e-05,0.913761436424709,33,0.9131664599335495,0.9135936627403987,0.0001906585821416229,0.00021500214643310755,8.372495358344167e-05,0.05216289431950205,0.046082007203281705,0.1188221434916592,0.00019167040913545857,0.00021695735566248047,8.415231524206157e-05
42,olive-sweep-140,3,99999.99999999999,-4.00908617107017,-8.30699348449707,12.316079884449076,gaussian,0.0003185500972904265,0.8591463882803397,0.00014701843610964715,30,0.0003311004547867924,0.00024301401572301984,0.8594941042890881,48,0.8556085393382681,0.8547996500307791,0.00010560110968071967,0.00015323326806537807,0.00025068470858968794,0.09440070859412586,0.06394058090223442,0.03975897252829785,0.00010592018796289589,0.00015637074533048694,0.0002514523097845799
43,fresh-sweep-139,3,99999.99999999999,-4.4472200486207685,-8.289789199829102,12.737009070430666,gaussian,0.0001566848804941401,0.7638455430435986,7.452900899806991e-05,31,0.04298168793320656,0.0001480916398577392,0.7798715176813007,11,0.7608629209221509,0.7620195714383047,0.00015543241170234978,0.00024062037118710577,0.0003735619247891009,0.06371920065453196,0.042129401659712906,0.02623392030816163,0.00015691394050599744,0.0002373075935143245,0.00038104063274761924
44,frosty-sweep-138,3,99999.99999999999,-3.1309467168671175,-8.309782028198242,11.440727272592213,gaussian,0.00028590011061169207,0.7341208073610174,0.00011023712431779131,32,0.0010617471998557448,0.0001394335413351655,0.7388640413781588,21,0.7363615845956025,0.7368284904467091,0.00012883204908575863,0.00035683007445186377,0.0001201239792862907,0.07639435693673224,0.028252765567302385,0.08186294757098622,0.00013088258838799794,0.0003538224161463219,0.0001221404663772452
45,comic-sweep-137,3,99999.99999999999,-4.189720575709901,-8.30269718170166,12.492417971034609,gaussian,0.0002797342895064503,0.9508136886491848,0.00016115316248033196,46,0.00016115316248033196,0.0003051389066968113,0.9508951367984219,46,0.9508951367984219,0.9505364891582752,9.515744750387967e-05,0.0002886220463551581,0.0001370726095046848,0.10665435230414833,0.03331017875931596,0.0725103790221091,9.375203415181745e-05,0.0003001184379061625,0.0001378922743488603
46,whole-sweep-136,3,10000.0,-4.743273625449572,-4.698243618011475,9.441517585512235,gaussian,0.0005471051554195583,0.7482669090886345,0.00025852458202280104,22,0.0010933710727840662,0.0007824084023013711,0.7558970775948766,31,0.7516414151234291,0.7502202961572512,0.005186781287193298,0.0021138477604836226,0.0014538881368935108,0.018778627252743263,0.04494395471192547,0.06427608356433723,0.005296995309098491,0.0022200537372781973,0.0015533719117917504
47,drawn-sweep-135,3,10000.0,-4.6341489484646665,-4.7101359367370605,9.344284306639308,gaussian,0.0003806864551734179,0.7721829019498123,6.166458479128778e-05,11,0.00025860595633275807,0.00024251047580037266,0.7734881790574066,46,0.7643958623492028,0.7689086813117789,0.0013902852078899741,0.002134748501703143,0.00271589239127934,0.06734046493523582,0.04301594432762901,0.036143023809032115,0.0014827893030694797,0.002319327607441948,0.0027591516791454643
48,prime-sweep-134,3,10000.0,-4.651846483356523,-4.7133002281188965,9.365146499123938,gaussian,0.0005715751904062927,0.672753093510288,0.0003741963591892272,41,0.0008087857277132571,0.0003741963591892272,0.6818697079575468,13,0.6721367714072105,0.6721367714072105,0.001941330381669104,0.004121560603380203,0.0014497952070087194,0.04765116214972309,0.02278373410362655,0.06369797280005063,0.0020941898688549487,0.004369916183572168,0.0015674479236732213
49,denim-sweep-133,3,10000.0,-4.786078728916213,-4.734715461730957,9.52079473233418,gaussian,0.00037853114190511405,0.859655497183946,0.00013878631580155343,34,0.0004199473187327385,0.0005669695674441755,0.8630432558537204,20,0.8597286083382777,0.8611777903866623,0.004562118090689182,0.0020658704452216625,0.0018420006381347775,0.01997748912089392,0.043105814771494444,0.05032623898856858,0.004980702487141861,0.0023145032799144483,0.0019830945556473007
50,faithful-sweep-132,3,10000.0,-4.760894677154682,-4.736060619354248,9.49695584201064,gaussian,0.0002551116922404617,0.7791927618705526,6.970341928536072e-05,16,0.0003973617567680776,0.00035213216324336827,0.7800269049782017,47,0.7570250263319159,0.775819316292611,0.0012510482920333743,0.002701612189412117,0.0027286172844469547,0.07334204747267226,0.034151733574535825,0.034122627001168304,0.0013616178121560398,0.0029195602547353746,0.0029220433602769936
51,sparkling-sweep-131,3,10000.0,-4.679768417722393,-4.71085786819458,9.390626760211,gaussian,0.0005319188348948956,0.7344711857318522,8.154551323968917e-05,11,0.00021329880109988153,0.0006344591965898871,0.7390159575563228,26,0.7196916925985929,0.7347970889367763,0.0026124794967472553,0.002579202875494957,0.001664980547502637,0.03533515125448283,0.0369270501907728,0.056210031907007144,0.0028220565303033436,0.002700728237458142,0.0017758824957717016
52,deep-sweep-130,3,10000.0,-4.624244570241248,-4.7198286056518555,9.344072796966508,gaussian,0.0004354934790171683,0.8731365761840628,6.278991349972785e-05,17,0.011176381260156631,0.00037770209019072354,0.8839949100693727,10,0.8769063882866671,0.8720264330509049,0.001359622459858656,0.004259584005922079,0.00219560693949461,0.0665031561583227,0.021860430871809777,0.04197646738993498,0.0015014303490706884,0.004553644715977238,0.0023766253728781613
