,name,dim,gamma_square,neg_elbo,kl_loss,rec_loss,prior,cima,mcc,min_cima,min_cima_step,cima4max_mcc,cima4min_neg_elbo,max_mcc,max_mcc_step,mcc4min_cima,mcc4min_neg_elbo,min_neg_elbo,min_neg_elbo_step,mse_sources_mean_decoded_sources,mse_obs_decoded_mean_latents,sigma_0,sigma_1,sigma_2,col_norm_sq_0,col_norm_sq_1,col_norm_sq_2,rhs_0,rhs_1,rhs_2
0,polished-sweep-120,3,1000000.0,9.026652248870231,-20.95720863342285,11.93055658291688,gaussian,0.009174251928925514,0.8652810524900186,0.009174251928925514,17,0.020577672868967056,0.013767514377832413,0.8709935410927886,6,0.8652810524900186,0.8683435862453615,7.274880007934901,12,5.941049948887667e-06,1.799774395294662e-06,4.346379682829138e-06,4.043561602884438e-06,3.545661684256629e-06,0.2241954610005772,0.24096072895703458,0.259176518630003,4.4603737076716185e-06,4.150036623360666e-06,3.858359341064536e-06
1,northern-sweep-119,3,1000000.0,16.855709494408238,-21.076311111450195,4.220605731828739,gaussian,0.01178731769323349,0.6963271507588984,0.01178731769323349,17,0.03084845468401909,0.016194140538573265,0.7096709041356905,4,0.6963271507588984,0.7011514039887414,7.392686884469988,12,3.905401626980165e-06,1.8953204516947153e-06,5.009686447010608e-06,5.015031547372928e-06,6.109846253821161e-06,0.2082049488979445,0.18394427153067738,0.1881229333549692,4.802936733042946e-06,5.43639959689437e-06,5.315644756975763e-06
2,cool-sweep-118,3,1000000.0,13.235368213650023,-21.318557739257812,8.083191168470744,gaussian,0.01218736544251442,0.8911093226388386,0.0010086975526064634,3,0.003531861584633589,0.004922493826597929,0.9005327338399418,1,0.8977573729760492,0.8941558491164269,8.428323183332662,7,1.1824077773781028e-05,2.3456775579688838e-06,4.270529188943328e-06,4.825356427318184e-06,4.416783212946029e-06,0.24582489844612443,0.21010313897660637,0.22512259111096,4.0679196387404295e-06,4.759544504315277e-06,4.442004478807e-06
3,smart-sweep-117,3,1000000.0,11.354530045145408,-20.885730743408203,9.531207468078875,gaussian,0.009332639165222645,0.711321088404152,0.009332639165222645,16,0.009332639165222645,0.020366594195365906,0.711321088404152,16,0.711321088404152,0.7063862269995985,8.116163907585417,11,8.341068678419106e-06,2.4515538825653493e-06,4.81361712445505e-06,4.700263616541633e-06,6.042342647560872e-06,0.19912700608144007,0.22322163539598705,0.1597668925228959,5.021895310853544e-06,4.479832424816795e-06,6.25907987023546e-06
4,wobbly-sweep-116,3,1000000.0,14.775725343844009,-20.734437942504883,5.958713788846431,gaussian,0.004473712760955095,0.7900059585531083,0.004473712760955095,9,0.005601333454251289,0.007265698630362749,0.7903576369185965,6,0.7900059585531083,0.7898257459990251,9.360259586187038,4,4.375029220682336e-06,3.228678451705491e-06,3.14655585498258e-06,6.689431756967679e-06,4.925511802866822e-06,0.3384655601372657,0.16216561541604335,0.2140244522025938,2.9545016192868455e-06,6.166497323968129e-06,4.672341488868401e-06
5,comfy-sweep-115,3,1000000.0,10.734487963469286,-20.97430419921875,10.239810478099724,gaussian,0.000245745963184163,0.7449397380197931,0.000245745963184163,20,0.009677453897893429,0.0005352700827643275,0.7606921547856694,0,0.7449397380197931,0.745310207357491,7.507563199452384,15,4.522504696069518e-06,1.989845713978866e-06,4.753304438054329e-06,5.556702490139287e-06,4.803594947588863e-06,0.21601903817981238,0.17846760833195052,0.20198474323683513,4.629200181733199e-06,5.6032263003923136e-06,4.9508444703815865e-06
6,leafy-sweep-114,3,1000000.0,13.872149457859503,-20.88610458374023,7.013950309189658,gaussian,0.005784019362181425,0.7013592198589457,0.004790555220097303,0,0.004790555220097303,0.009074041619896889,0.7073218243938711,0,0.7073218243938711,0.7004163147090006,9.110569422785208,6,5.5653758863627445e-06,3.0885332762409234e-06,5.0363451009616256e-06,3.5346079130249564e-06,4.332409844209906e-06,0.18942843611612048,0.29417597297021203,0.22686450167841432,5.279010593617555e-06,3.3993143307693853e-06,4.407898039154128e-06
7,zany-sweep-113,3,1000000.0,47.51202416080996,-21.063175201416016,-26.44884514469671,gaussian,0.010465414263308048,0.8791140688153422,0.009963007643818855,12,0.03149762004613876,0.012382106855511665,0.8815090630824544,1,0.8789402875212375,0.879264020322229,11.464207812675335,8,4.1960897760873195e-06,4.585329861583887e-06,2.1776947960461257e-06,3.606031441449886e-06,2.9762654776277486e-06,0.44412155190090985,0.2579403106505005,0.3333598885456581,2.2516307620945002e-06,3.876850890918196e-06,2.999752023588205e-06
8,firm-sweep-112,3,1000000.0,22.112601658443513,-20.947546005249023,-1.165060251176242,gaussian,0.006146287079900503,0.8066052244537861,0.006146287079900503,20,0.012323771603405476,0.011281145736575127,0.807375902114158,14,0.8066052244537861,0.8071773312311618,7.742369011850976,15,4.8538308874412905e-06,2.1571729575953213e-06,4.5899487304268405e-06,3.4100851280527422e-06,4.090180482307915e-06,0.22308242906598252,0.28947156519330974,0.23456166198518336,4.482627885840077e-06,3.4545588088190677e-06,4.263253117681479e-06
9,comfy-sweep-111,3,1000000.0,13.38735228433919,-20.791276931762695,7.403933360192055,gaussian,0.002222631359472871,0.8472392582236488,0.0021443436853587627,24,0.0021443436853587627,0.002373485593125224,0.8474444749074358,24,0.8474444749074358,0.8472682938959781,7.398825667798751,20,4.805997832590947e-06,2.029225925070932e-06,3.556879164534621e-06,3.566565510482178e-06,2.932376219177968e-06,0.2996419286314591,0.2784708201362527,0.33261833279175335,3.3373055208318748e-06,3.5910276289741377e-06,3.0064397989339994e-06
10,devout-sweep-110,3,1000000.0,18.433686949968376,-21.303178787231445,2.869493490298551,gaussian,0.0020080814138054848,0.8472741863785028,0.0020080814138054848,16,0.0020080814138054848,0.0039439438842237,0.8472741863785028,16,0.8472741863785028,0.8436218331175802,6.828424824009516,11,2.674154984561028e-06,1.2530489357232e-06,5.429054453998106e-06,4.8978504310071e-06,3.4129554933315376e-06,0.19469798248565784,0.2045898052529651,0.30947192745714247,5.1361336727769655e-06,4.887805191262412e-06,3.2313004184784003e-06
11,hopeful-sweep-109,3,1000000.0,19.951009325922065,-20.75118637084961,0.8001729504858108,gaussian,0.006900865118950605,0.8196144720144516,0.006900865118950605,13,0.007253196556121111,0.008098074235022068,0.8198260075652045,12,0.8196144720144516,0.8193475897061374,10.063819151357915,8,7.5620469033310656e-06,3.8077471344877267e-06,6.764314548490802e-06,4.33580817116308e-06,3.7902939311607042e-06,0.15063153266333984,0.24653055440214544,0.2610879616974593,6.638672153478136e-06,4.056275889003593e-06,3.830112133039025e-06
12,dark-sweep-108,3,1000000.0,24.324418808204214,-20.97722625732422,-3.347196340145949,gaussian,0.007866770029067993,0.8453690769202786,0.007866770029067993,12,0.007866770029067993,0.018371909856796265,0.8453690769202786,12,0.8453690769202786,0.8438608000888327,8.720762150738592,7,3.16786031362426e-06,2.784827984214644e-06,3.0806943414063426e-06,6.824066076660529e-06,4.40957592218183e-06,0.2935591482128075,0.15045551637968746,0.2344347489216858,3.4064569257373467e-06,6.6464386127113996e-06,4.2655610528667875e-06
13,deft-sweep-107,3,1000000.0,15.361534683431092,-20.78912925720215,5.4275886533608935,gaussian,0.0030844879802316427,0.9674482898200982,0.0016928062541410327,0,0.0030844879802316427,0.002915739081799984,0.9674482898200982,15,0.959178096418935,0.9657078849051557,10.512935038253842,10,8.901944056560751e-06,4.11016435464262e-06,5.87934391660383e-06,7.071364507282851e-06,5.383603365771705e-06,0.17920314912632662,0.14066986352340027,0.19856804783657722,5.580227940453926e-06,7.108792645135446e-06,5.036031601576708e-06
